weekno,rides,surcharge,total_amount,passenger_count,totalRidesWithSurcharge,percentRidesWithSurcharge,percent_surcharge,average_surcharge
1,2199173,698821.5,3.054172E7,3840233,1083509,49.0,4.8,0.64
2,3227165,1052701.9,4.488452E7,5435378,1580206,48.0,4.89,0.67
3,3450056,1127688.5,4.8575616E7,5833700,1705373,49.0,4.83,0.66
4,3488044,1043764.6,4.8087052E7,5942627,1625136,46.0,4.71,0.64
5,3549440,1151746.6,4.9665792E7,5999060,1746476,49.0,4.78,0.66
6,3278648,1035423.5,4.5322192E7,5523748,1554855,47.0,4.9,0.67
7,3553744,1152126.5,5.0789524E7,6043884,1759598,49.0,4.68,0.65
8,3563902,1066732.2,4.9540164E7,6092844,1678429,47.0,4.63,0.64
9,3606489,1168510.0,5.1182732E7,6115158,1782470,49.0,4.71,0.66
10,3618238,1179671.0,5.142662E7,6135321,1785951,49.0,4.79,0.66
11,3615707,1151364.5,5.3070128E7,6159460,1764473,48.0,4.63,0.65
12,3529239,1139325.5,5.1043124E7,6018753,1747105,49.0,4.66,0.65
13,3389983,1124891.1,4.8684256E7,5854472,1725126,50.0,4.68,0.65
14,447157,92952.5,6430627.5,797541,185205,41.0,3.57,0.5
