hour,rides,surcharge,total_amount,passenger_count,totalRidesWithSurcharge,percentRidesWithSurcharge,percent_surcharge,average_surcharge
0,1696638,834132,2.55E+07,2996462,1667878,98,3.51,0.5
1,1247559,616236.5,1.83E+07,2200721,1232204,98,3.53,0.5
2,921246,456273.1,1.35E+07,1624324,912266,99,3.51,0.5
3,702731,346997.5,1.07E+07,1239926,693850,98,3.4,0.5
4,507773,246437.5,8744942,882717,492735,97,3.14,0.5
5,428575,190629.9,8377211,694296,381162,88,3.11,0.5
6,897977,2320.05,1.33E+07,1401716,4552,0,3.67,0.51
7,1594736,664.5,2.16E+07,2548675,1182,0,3.92,0.56
8,2021678,796.3,2.72E+07,3289204,1374,0,4.13,0.58
9,2083297,806,2.77E+07,3399259,1412,0,4.18,0.57
10,2001863,752,2.65E+07,3326006,1356,0,4.06,0.55
11,2056077,781.5,2.72E+07,3453119,1386,0,4.25,0.56
12,2186533,858.73,2.90E+07,3684945,1469,0,4.44,0.58
13,2172809,976.12,2.98E+07,3676605,1562,0,4.95,0.62
14,2268942,972,3.23E+07,3862995,1652,0,4.5,0.59
15,2191649,34055.15,3.14E+07,3773600,34724,1,7.33,0.98
16,1888345,1203421.6,2.79E+07,3254457,1203981,63,7.3,1
17,2262459,1517006.5,3.25E+07,3871968,1517603,67,7.3,1
18,2771316,1924350.8,3.83E+07,4735768,1925205,69,7.45,1
19,2830863,1989461.8,3.86E+07,4857821,2023891,71,7.44,0.98
20,2646964,1305977.2,3.66E+07,4545385,2600271,98,3.85,0.5
21,2545847,1252553.5,3.62E+07,4414496,2504610,98,3.72,0.5
22,2462873,1211972.2,3.59E+07,4310803,2423455,98,3.62,0.5
23,2128235,1047287.44,3.18E+07,3746911,2094132,98,3.52,0.5
