hack_licence,month,day,totalrides,totalamount,totalpassenger
00B7691D86D96AEBD21DD9E138F90840,1,1,12,51.7,45
00B7691D86D96AEBD21DD9E138F90840,1,2,99,603.31,193
00B7691D86D96AEBD21DD9E138F90840,1,3,69,370.21,166
00B7691D86D96AEBD21DD9E138F90840,1,4,101,882.31,264
00B7691D86D96AEBD21DD9E138F90840,1,5,39,485.95,43
00B7691D86D96AEBD21DD9E138F90840,1,6,12,51.7,12
00B7691D86D96AEBD21DD9E138F90840,1,7,87,428.0,173
00B7691D86D96AEBD21DD9E138F90840,1,8,181,1851.76,511
00B7691D86D96AEBD21DD9E138F90840,1,9,130,869.66,319
00B7691D86D96AEBD21DD9E138F90840,1,10,71,481.9,162
00B7691D86D96AEBD21DD9E138F90840,1,11,109,522.45,173
00B7691D86D96AEBD21DD9E138F90840,1,12,15,168.98,22
00B7691D86D96AEBD21DD9E138F90840,1,13,11,69.5,21
00B7691D86D96AEBD21DD9E138F90840,1,14,76,365.83,128
00B7691D86D96AEBD21DD9E138F90840,1,15,65,472.3,112
00B7691D86D96AEBD21DD9E138F90840,1,16,113,481.39,202
00B7691D86D96AEBD21DD9E138F90840,1,17,131,720.47,256
00B7691D86D96AEBD21DD9E138F90840,1,18,123,634.5,227
00B7691D86D96AEBD21DD9E138F90840,1,19,49,359.27,56
00B7691D86D96AEBD21DD9E138F90840,1,20,10,35.0,10
00B7691D86D96AEBD21DD9E138F90840,1,21,90,631.5,203
00B7691D86D96AEBD21DD9E138F90840,1,22,88,625.0,243
00B7691D86D96AEBD21DD9E138F90840,1,23,59,429.21,157
00B7691D86D96AEBD21DD9E138F90840,1,24,66,355.0,118
00B7691D86D96AEBD21DD9E138F90840,1,25,88,533.45,182
00B7691D86D96AEBD21DD9E138F90840,1,26,9,72.7,25
00B7691D86D96AEBD21DD9E138F90840,1,27,3,9.0,3
00B7691D86D96AEBD21DD9E138F90840,1,28,54,254.65,100
00B7691D86D96AEBD21DD9E138F90840,1,29,53,396.98,110
00B7691D86D96AEBD21DD9E138F90840,1,30,85,500.55,198
00B7691D86D96AEBD21DD9E138F90840,1,31,51,343.8,97
00B7691D86D96AEBD21DD9E138F90840,2,1,45,241.7,70
00B7691D86D96AEBD21DD9E138F90840,2,2,5,28.4,5
00B7691D86D96AEBD21DD9E138F90840,2,3,10,68.0,17
00B7691D86D96AEBD21DD9E138F90840,2,4,120,537.32,266
00B7691D86D96AEBD21DD9E138F90840,2,5,123,854.0,226
00B7691D86D96AEBD21DD9E138F90840,2,6,118,911.7,254
00B7691D86D96AEBD21DD9E138F90840,2,7,61,489.9,88
00B7691D86D96AEBD21DD9E138F90840,2,8,64,605.02,148
00B7691D86D96AEBD21DD9E138F90840,2,9,10,46.0,15
00B7691D86D96AEBD21DD9E138F90840,2,10,6,18.3,6
00B7691D86D96AEBD21DD9E138F90840,2,11,55,229.3,100
00B7691D86D96AEBD21DD9E138F90840,2,12,55,308.0,111
00B7691D86D96AEBD21DD9E138F90840,2,13,53,480.3,137
00B7691D86D96AEBD21DD9E138F90840,2,14,61,338.7,109
00B7691D86D96AEBD21DD9E138F90840,2,15,113,854.5,240
00B7691D86D96AEBD21DD9E138F90840,2,16,7,22.5,7
00B7691D86D96AEBD21DD9E138F90840,2,17,11,37.7,15
00B7691D86D96AEBD21DD9E138F90840,2,18,31,116.3,45
00B7691D86D96AEBD21DD9E138F90840,2,19,79,636.1,206
00B7691D86D96AEBD21DD9E138F90840,2,20,57,550.3,123
00B7691D86D96AEBD21DD9E138F90840,2,21,51,265.5,95
00B7691D86D96AEBD21DD9E138F90840,2,22,78,503.9,213
00B7691D86D96AEBD21DD9E138F90840,2,23,1,3.0,1
00B7691D86D96AEBD21DD9E138F90840,2,24,9,31.0,23
00B7691D86D96AEBD21DD9E138F90840,2,25,35,229.8,78
00B7691D86D96AEBD21DD9E138F90840,2,26,77,376.4,133
00B7691D86D96AEBD21DD9E138F90840,2,27,63,279.45,163
00B7691D86D96AEBD21DD9E138F90840,2,28,37,144.9,50
00B7691D86D96AEBD21DD9E138F90840,3,1,72,699.19,181
00B7691D86D96AEBD21DD9E138F90840,3,2,24,205.1,32
00B7691D86D96AEBD21DD9E138F90840,3,3,1,3.0,1
00B7691D86D96AEBD21DD9E138F90840,3,4,193,1301.93,422
00B7691D86D96AEBD21DD9E138F90840,3,5,82,380.26,179
00B7691D86D96AEBD21DD9E138F90840,3,6,78,440.1,176
00B7691D86D96AEBD21DD9E138F90840,3,7,63,546.43,116
00B7691D86D96AEBD21DD9E138F90840,3,8,80,699.68,188
00B7691D86D96AEBD21DD9E138F90840,3,10,8,27.5,12
00B7691D86D96AEBD21DD9E138F90840,3,11,36,274.95,63
00B7691D86D96AEBD21DD9E138F90840,3,12,103,787.6,184
00B7691D86D96AEBD21DD9E138F90840,3,13,53,318.85,90
00B7691D86D96AEBD21DD9E138F90840,3,14,77,416.13,90
00B7691D86D96AEBD21DD9E138F90840,3,15,64,367.82,102
00B7691D86D96AEBD21DD9E138F90840,3,16,4,17.7,4
00B7691D86D96AEBD21DD9E138F90840,3,18,57,363.4,72
00B7691D86D96AEBD21DD9E138F90840,3,19,42,162.4,53
00B7691D86D96AEBD21DD9E138F90840,3,20,35,146.72,55
00B7691D86D96AEBD21DD9E138F90840,3,21,61,245.7,95
00B7691D86D96AEBD21DD9E138F90840,3,22,33,147.49,57
00B7691D86D96AEBD21DD9E138F90840,3,23,31,192.69,91
00B7691D86D96AEBD21DD9E138F90840,3,24,2,6.5,2
00B7691D86D96AEBD21DD9E138F90840,3,25,57,648.34,106
00B7691D86D96AEBD21DD9E138F90840,3,26,29,129.1,39
00B7691D86D96AEBD21DD9E138F90840,3,27,14,58.9,23
00B7691D86D96AEBD21DD9E138F90840,3,28,43,283.16,72
00B7691D86D96AEBD21DD9E138F90840,3,29,47,211.24,63
00B7691D86D96AEBD21DD9E138F90840,3,31,11,36.0,11
