pickuplon,pickuplat, dropofflon,dropofflat,totalrides,averagedistance,totalpassenger,averageamount,averagesurcharge,noofpassengerspayingtip,averagetoll
-73.937584,40.75801,-73.937584,40.75801,2834,2.62,6605,13.53,0.31,1468,0.17
-73.94904,40.744915,-73.94904,40.744915,2914,2.24,3251,12.08,0.32,1434,0.06
-73.965034,40.759426,-73.965034,40.759426,2194,2.73,5945,13.78,0.28,1193,0.31
-73.93752,40.75815,-73.93752,40.75815,2210,2.41,2666,12.6,0.3,1158,0.08
-73.990944,40.736053,-73.990944,40.736053,2048,2.49,2986,13.56,0.33,1115,0.13
-73.99303,40.737007,-73.99303,40.737007,1901,2.62,6359,13.84,0.33,1001,0.12
-73.85042,40.83717,-73.85042,40.83717,1803,2.42,5739,12.78,0.31,935,0.13
-73.9806,40.683193,-73.9806,40.683193,1576,2.58,1797,13.5,0.27,928,0.13
-73.98587,40.684944,-73.98587,40.684944,1096,2.53,1259,12.93,0.32,599,0.13
-73.99078,40.770645,-73.99078,40.770645,1070,2.77,1452,14.68,0.32,580,0.23
-73.9237,40.76035,-73.9237,40.76035,1221,3.67,1228,18.59,0.47,528,0.28
-73.903,40.763824,-73.903,40.763824,922,2.73,1293,14.41,0.34,516,0.21
-73.97738,40.631966,-73.97738,40.631966,861,2.33,864,12.33,0.31,445,0.12
-73.9453,40.783367,-73.9453,40.783367,806,2.64,808,13.44,0.33,426,0.16
-73.86759,40.72682,-73.86759,40.72682,737,2.43,738,13.42,0.33,396,0.15
-74.008286,40.71283,-74.008286,40.71283,662,3.28,899,15.39,0.38,343,0.31
-73.97725,40.71501,-73.97725,40.71501,640,2.53,1332,13.25,0.32,339,0.08
-73.974396,40.752983,-73.974396,40.752983,589,2.72,897,13.85,0.36,291,0.17
-73.93748,40.758453,-73.93748,40.758453,475,2.62,618,13.9,0.32,245,0.12
-74.009926,40.736706,-74.009926,40.736706,377,2.36,417,12.91,0.37,244,0.07
